run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260430T184623Z,2026-04-30T18:46:23.680181+00:00,active,llm_stats_guided,openrouter/openai/gpt-5.4-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,46.766531,19820,710,20530,0,0,3,0,3,1,3,0,6,5,0,1,0,0,0,6,0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260430T184623Z,2026-04-30T18:47:10.456365+00:00,active,llm_stats_guided,openrouter/openai/gpt-5.4-mini,0,27998312,279983120007,4,3,50,25,0.5,2,success,,31.306771,26849,933,27782,0,0,3,0,3,1,3,0,8,7,0,1,0,0,0,6,0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,3,1.0
20260430T184623Z,2026-04-30T18:47:41.767132+00:00,active,llm_stats_guided,openrouter/openai/gpt-5.4-mini,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,53.98078,30603,1112,31715,0,0,3,0,3,1,3,0,9,8,0,1,0,0,0,3,3,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,1.0
