level,method,model,n,d,k,max_edges,density,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
0,random_uniform,baseline,800,4,3,6,0.5,0.5669583333333333,0.50875,0.434375,0.3458333333333334,0.2475,0.2110327380952381,3.7625,1.0
1,random_uniform,baseline,800,6,6,15,0.4,0.46743911643911645,0.49041666666666667,0.38649223727339055,0.2763764985014985,0.24833333333333332,0.19488062398772538,8.875,1.0
2,random_uniform,baseline,800,8,9,28,0.32142857142857145,0.3434587329379819,0.5068055555555556,0.34793144195798653,0.18595799331264612,0.24638888888888888,0.169880994010493,16.52625,1.0
3,random_uniform,baseline,800,10,12,45,0.26666666666666666,0.2757166297507083,0.5002083333333334,0.3111235369860912,0.14817968033195947,0.25114583333333335,0.15610687031223822,25.47875,1.0
4,random_uniform,baseline,800,12,14,66,0.21212121212121213,0.22556313740344205,0.49169642857142853,0.26324752590905726,0.12252041135013478,0.243125,0.13122310394708772,36.26875,1.0
5,random_uniform,baseline,800,10,12,45,0.26666666666666666,0.28232968158358807,0.49197916666666663,0.3030794592884028,0.152511622833679,0.24520833333333333,0.15099708111499882,25.4125,1.0
overall,random_uniform,baseline,4800,,,,,0.3602442719080283,0.4983093584656084,0.34104153356915473,0.20522992327720851,0.24695023148148149,0.1690202352446302,19.387291666666666,1.0
