run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,max_edges,density,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T095857Z,2026-04-23T09:58:57.727310+00:00,random_uniform,baseline,0,1276453582,0,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3,1.0
20260423T095857Z,2026-04-23T09:58:57.727310+00:00,random_uniform,baseline,0,1276453582,1,12345,4,3,6,0.5,3,0,3,1,3,0,6,6,0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,5,1.0
20260423T095857Z,2026-04-23T09:58:57.727310+00:00,random_uniform,baseline,0,1276453582,2,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0
20260423T095857Z,2026-04-23T09:58:57.727310+00:00,random_uniform,baseline,0,1276453582,3,12345,4,3,6,0.5,3,0,3,1,3,0,4,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095857Z,2026-04-23T09:58:57.727310+00:00,random_uniform,baseline,0,1276453582,4,12345,4,3,6,0.5,3,0,3,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260423T095857Z,2026-04-23T09:58:57.728318+00:00,random_uniform,baseline,0,1276453582,5,12345,4,3,6,0.5,3,0,3,1,3,0,6,6,0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,5,1.0
20260423T095857Z,2026-04-23T09:58:57.728318+00:00,random_uniform,baseline,0,1276453582,6,12345,4,3,6,0.5,3,0,3,1,3,0,5,5,0,0.4,0.6666666666666666,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T095857Z,2026-04-23T09:58:57.728318+00:00,random_uniform,baseline,0,1276453582,7,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0
20260423T095857Z,2026-04-23T09:58:57.728318+00:00,random_uniform,baseline,0,1276453582,8,12345,4,3,6,0.5,3,0,3,1,3,0,2,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095857Z,2026-04-23T09:58:57.729318+00:00,random_uniform,baseline,0,1276453582,9,12345,4,3,6,0.5,3,0,3,1,3,0,5,5,0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,4,1.0
20260423T095857Z,2026-04-23T09:58:57.729318+00:00,random_uniform,baseline,0,1276453582,10,12345,4,3,6,0.5,3,0,3,1,3,0,5,5,0,0.4,0.6666666666666666,0.5,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,5,1.0
20260423T095857Z,2026-04-23T09:58:57.729318+00:00,random_uniform,baseline,0,1276453582,11,12345,4,3,6,0.5,3,0,3,1,3,0,2,2,0,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,3,1.0
20260423T095857Z,2026-04-23T09:58:57.729318+00:00,random_uniform,baseline,0,1276453582,12,12345,4,3,6,0.5,3,0,3,1,3,0,5,5,0,0.4,0.6666666666666666,0.5,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,5,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,13,12345,4,3,6,0.5,3,0,3,1,3,0,4,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,4,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,14,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,15,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,16,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,17,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,1.0
20260423T095857Z,2026-04-23T09:58:57.730316+00:00,random_uniform,baseline,0,1276453582,18,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095857Z,2026-04-23T09:58:57.731315+00:00,random_uniform,baseline,0,1276453582,19,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,2,1.0
