run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260428T070900Z,2026-04-28T07:13:35.882601+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,1,1479720101,14797201010108,6,6,50,25,1.0,1,success,,17.007819,41208,1171,42379,0,0,6,3,3,2,3,0,10,9,0,1,0,0,0,4,0,0.5,0.3333333333333333,0.4,1.0,0.3333333333333333,0.5,0.25,0.16666666666666666,0.2,7,1.0
20260428T070900Z,2026-04-28T07:13:52.900075+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,823847298,8238472980209,8,9,50,25,1.0,1,success,,26.961567,50240,1268,51508,0,0,9,5,4,1,2,0,10,9,0,1,0,0,0,10,15,0.36,1.0,0.5294117647058824,1.0,0.2,0.33333333333333337,0.2,0.2222222222222222,0.2105263157894737,23,1.0
20260428T070900Z,2026-04-28T07:14:19.869443+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,834246677,8342466770209,8,9,50,25,1.0,1,success,,19.98609,39453,1023,40476,0,0,9,4,5,1,2,0,8,7,0,1,0,0,0,8,13,0.3333333333333333,0.7777777777777778,0.4666666666666666,0.5,0.25,0.3333333333333333,0.25,0.2222222222222222,0.23529411764705882,21,1.0
20260428T070900Z,2026-04-28T07:14:39.864951+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,32015887,320158870209,8,9,50,25,1.0,1,success,,21.450947,76427,1606,78033,0,0,9,7,2,2,3,0,15,14,0,1,0,0,0,13,0,0.46153846153846156,0.6666666666666666,0.5454545454545455,1.0,0.5714285714285714,0.7272727272727273,0.38461538461538464,0.5555555555555556,0.4545454545454546,11,1.0
20260428T070900Z,2026-04-28T07:15:01.324880+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,716908331,7169083310209,8,9,50,25,1.0,1,success,,23.498501,76728,1743,78471,0,0,9,2,7,2,3,0,15,14,0,1,0,0,0,21,0,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.0,0.0,0.0,0.23809523809523808,0.5555555555555556,0.33333333333333326,17,1.0
20260428T070900Z,2026-04-28T07:15:24.830479+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,1426457537,14264575370209,8,9,50,25,1.0,1,success,,19.559654,65746,1511,67257,0,0,9,6,3,2,3,0,13,12,0,1,0,0,0,11,0,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0
20260428T070900Z,2026-04-28T07:15:44.399261+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,684342303,6843423030209,8,9,50,25,1.0,1,success,,39.17102,82029,1810,83839,0,0,9,5,4,2,3,0,16,15,0,1,22,0,0,23,0,0.34782608695652173,0.8888888888888888,0.5,0.25,0.2,0.22222222222222224,0.13043478260869565,0.3333333333333333,0.18750000000000003,21,1.0
20260428T070900Z,2026-04-28T07:16:23.577469+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,1207468583,12074685830209,8,9,50,25,1.0,1,success,,22.34372,71560,1578,73138,0,0,9,7,2,2,3,0,14,13,0,1,0,0,0,9,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.14285714285714285,0.22222222222222224,0.2222222222222222,0.2222222222222222,0.2222222222222222,13,1.0
20260428T070900Z,2026-04-28T07:16:45.929197+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,2,1612783012,16127830120209,8,9,50,25,1.0,1,success,,16.466601,49490,1092,50582,0,0,9,4,5,1,2,0,10,9,0,1,0,0,0,6,15,0.38095238095238093,0.8888888888888888,0.5333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,22,1.0
20260428T070900Z,2026-04-28T07:17:02.405220+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,3,1329552115,13295521150310,10,12,50,25,1.0,1,success,,40.069846,143468,2915,146383,0,0,12,6,6,2,3,0,23,22,0,1,0,0,0,5,33,0.3157894736842105,1.0,0.4799999999999999,1.0,0.16666666666666666,0.2857142857142857,0.2,0.08333333333333333,0.11764705882352941,37,1.0
20260428T070900Z,2026-04-28T07:17:42.477345+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,3,160719912,1607199120310,10,12,50,25,1.0,1,success,,20.615376,71249,1291,72540,0,0,12,10,2,2,3,0,12,11,0,1,0,0,0,0,7,0.2857142857142857,0.16666666666666666,0.2105263157894737,1.0,0.0,0.0,1.0,0.0,0.0,17,1.0
20260428T070900Z,2026-04-28T07:18:03.097693+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,3,362855691,3628556910310,10,12,50,25,1.0,1,success,,27.383718,109516,2085,111601,0,0,12,10,2,2,3,0,18,17,0,1,0,0,0,4,0,0.5,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0
20260428T070900Z,2026-04-28T07:18:30.487322+00:00,active,llm_stats_guided,openai/gpt-5.4-mini,3,589330817,5893308170310,10,12,50,25,1.0,1,success,,15.493255,52527,1116,53643,0,0,12,9,3,1,2,0,9,8,0,1,0,0,0,41,0,0.2682926829268293,0.9166666666666666,0.4150943396226415,0.375,0.3333333333333333,0.35294117647058826,0.12195121951219512,0.4166666666666667,0.18867924528301888,37,1.0
