level,method,model,n_total,n_success,n_failed,skeleton_precision_mean,skeleton_precision_std,skeleton_precision_ci95_low,skeleton_precision_ci95_high,skeleton_recall_mean,skeleton_recall_std,skeleton_recall_ci95_low,skeleton_recall_ci95_high,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,compelled_precision_mean,compelled_precision_std,compelled_precision_ci95_low,compelled_precision_ci95_high,compelled_recall_mean,compelled_recall_std,compelled_recall_ci95_low,compelled_recall_ci95_high,compelled_f1_mean,compelled_f1_std,compelled_f1_ci95_low,compelled_f1_ci95_high,directed_precision_mean,directed_precision_std,directed_precision_ci95_low,directed_precision_ci95_high,directed_recall_mean,directed_recall_std,directed_recall_ci95_low,directed_recall_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,sanitized_invalid_count_mean,sanitized_cycle_count_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean
0,llm_stats_guided,openai/gpt-5.4-mini,8,8,0,0.4770833333333333,0.11715459194030087,0.3958993430533663,0.5582673236133003,0.7916666666666666,0.2480079363809483,0.6198059349356773,0.963527398397656,0.5863095238095238,0.13644183787049027,0.4917601539896603,0.6808588936293873,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.33125,0.2982006222513815,0.12460751149496008,0.5378924885050399,0.3333333333333333,0.25197631533948484,0.1587226552838827,0.5079440113827839,0.2509920634920635,0.1832499982383939,0.1240062934134081,0.3779778335707189,4.625,0.9161253813129043,3.990157499847403,5.259842500152597,1.0,0.0,1.0,1.0,4.25,0.75,0.0,8.875,7.875,0.0,1.0,0.0,0.0,0.0,28559.625,1017.625,29577.25
1,llm_stats_guided,openai/gpt-5.4-mini,8,8,0,0.5613095238095238,0.27461947640128886,0.3710079356804584,0.7516111119385892,0.6458333333333334,0.3265682553415525,0.4195330780185071,0.8721335886481596,0.5001526251526252,0.12447934429671842,0.41389284045215785,0.5864124098530924,0.6875,0.45806269065645216,0.37007874992370154,1.0049212500762985,0.375,0.4154744849194083,0.0870908708174285,0.6629091291825715,0.425,0.4166190448976481,0.1362977312177821,0.7137022687822179,0.33035714285714285,0.3496232179902003,0.08808061352203236,0.5726336721922534,0.25,0.2672612419124244,0.06479740822547866,0.43520259177452136,0.23272283272283273,0.19551306595202197,0.09723919027249026,0.3682064751731752,9.5,4.035556254807296,6.703502190238655,12.296497809761345,1.0,0.0,1.0,1.0,5.625,3.25,0.0,10.625,9.625,0.0,1.0,0.125,0.0,0.0,43853.125,1215.0,45068.125
2,llm_stats_guided,openai/gpt-5.4-mini,8,8,0,0.37019654258784696,0.04130022030776087,0.3415769500606132,0.3988161351150807,0.736111111111111,0.23710109914745484,0.5718084319778408,0.9004137902443813,0.48019162210338684,0.07644167154256,0.4272202462766675,0.5331629979301061,0.53125,0.4317220501334494,0.23208188254762174,0.8304181174523783,0.1705357142857143,0.19152744552849482,0.03781396587950922,0.30325746269191933,0.2297979797979798,0.24711373379242563,0.0585568988468074,0.4010390607491522,0.17817095344269257,0.13068783736424516,0.0876089025442074,0.26873300434117775,0.2638888888888889,0.21362331482055194,0.11585548425031114,0.4119222935274667,0.20542768044219284,0.15322347997649302,0.09924922594838104,0.31160613493600464,18.0,4.44007721940573,14.923183463382973,21.076816536617027,1.0,0.0,1.0,1.0,12.625,5.375,0.0,12.625,11.625,0.0,1.0,2.75,0.0,0.0,63959.125,1453.875,65413.0
3,llm_stats_guided,openai/gpt-5.4-mini,8,8,0,0.4112245552906657,0.2493172825632968,0.23845649294650617,0.5839926176348252,0.5104166666666666,0.428261296517953,0.21364672911683102,0.8071866042165022,0.3039159927057147,0.162248063460429,0.19148382091660515,0.4163481644948242,0.6302083333333333,0.4484527522847262,0.3194464307946784,0.9409702358719881,0.103125,0.12503471740103048,0.016480361373147984,0.189769638626852,0.14607124901242546,0.1601619363856771,0.03508468953227037,0.25705780849258053,0.39441056910569106,0.40909405744774674,0.11092285058455875,0.6778982876268234,0.11458333333333333,0.1539009937362845,0.007935385757103702,0.22123128090956296,0.10773523245776298,0.1293276418962234,0.018115748929671674,0.1973547159858543,25.25,12.349089035228468,16.69251789367924,33.80748210632076,1.0,0.0,1.0,1.0,8.625,12.125,0.0,13.25,12.25,0.0,1.0,0.25,0.0,0.125,79604.5,1545.75,81150.25
4,llm_stats_guided,openai/gpt-5.4-mini,8,7,1,0.6813852813852813,0.3434436803755824,0.4269586424487286,0.935811920321834,0.25510204081632654,0.29118904388876854,0.03938617831814742,0.4708179033145057,0.2379593286063735,0.17563716699588897,0.10784549444808128,0.36807316276466573,0.7142857142857143,0.48795003647426666,0.3528072686396887,1.0757641599317398,0.12023809523809524,0.16186536635548945,0.0003265537678190239,0.24014963670837147,0.1846724703867561,0.24270819807136992,0.004871721075789759,0.36447321969772245,0.4836734693877551,0.4191365088158651,0.17317279842766414,0.794174140347846,0.1020408163265306,0.16421915244317428,-0.019614434279433768,0.22369606693249497,0.11194951664876476,0.15554750193679825,-0.0032816853622248954,0.22718071865975442,19.142857142857142,9.839183086492689,11.853888308607221,26.431825977107064,1.0,0.0,1.0,1.0,5.428571428571429,4.714285714285714,0.0,15.428571428571429,14.428571428571429,0.0,1.0,0.0,0.0,0.0,107787.42857142857,1743.0,109530.42857142857
5,llm_stats_guided,openai/gpt-5.4-mini,8,8,0,0.400350270412426,0.2976883393033444,0.1940627758789005,0.6066377649459515,0.28125,0.3256175451573298,0.055608553231016544,0.5068914467689835,0.18774659517588613,0.10922119354145411,0.11206016950548459,0.26343302084628767,0.7708333333333333,0.36663960939129747,0.5167650463622033,1.0249016203044632,0.1210164835164835,0.10750934694395736,0.04651630701677423,0.19551666001619278,0.19931165648077415,0.16431191850451127,0.08544930611254911,0.3131740068489992,0.39813114517061887,0.30578819035043464,0.18623074022713484,0.6100315501141029,0.109375,0.0728102965638397,0.05892003864831527,0.15982996135168473,0.14528658289902668,0.10031711952882727,0.0757703657208502,0.21480280007720315,32.125,22.900015595752645,16.256098809306298,47.993901190693705,1.0,0.0,1.0,1.0,7.875,14.5,0.0,16.25,15.25,0.0,1.0,0.125,0.0,0.0,127471.75,1854.625,129326.375
overall,llm_stats_guided,openai/gpt-5.4-mini,48,47,1,0.4793832079397306,0.2519908006429372,0.4073402013928044,0.5514262144866567,0.5427220533603512,0.36474512932274616,0.43844310479273196,0.6470010019279704,0.38579247174088727,0.19507591791219733,0.33002116740978227,0.44156377607199226,0.7225177304964538,0.4053049296905385,0.6066429222546581,0.8383925387382496,0.31912945210817545,0.38127665891111256,0.2101242155517619,0.42813468866458904,0.3679607313837601,0.3786578696652752,0.2597041945826611,0.47621726818485915,0.34987814404943507,0.32568556381482044,0.25676614493563693,0.4429901431632332,0.19752617359000338,0.20926561856407086,0.1376980993516097,0.25735424782839705,0.1770417394181358,0.15817088946641603,0.13182141234155875,0.22226206649471286,18.085106382978722,14.455072507050556,13.952467887427659,22.217744878529786,1.0,0.0,1.0,1.0,7.446808510638298,6.829787234042553,0.0,12.787234042553191,11.787234042553191,0.0,1.0,0.5531914893617021,0.0,0.02127659574468085,74512.70212765958,1465.872340425532,75978.5744680851
