level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,3,1,20560428,2,10,12,45,0.26666666666666666,25,15,1.0,1,7,0.15472678008892696,0.1739130434782609,0.0,17.0
v0_like_density_probe,3,1,20560428,3,10,12,45,0.26666666666666666,25,15,1.0,1,37,0.15472678008892696,0.1739130434782609,0.163265306122449,35.0
v0_like_density_probe,3,1,20560428,4,10,12,45,0.26666666666666666,25,15,1.0,1,25,0.15472678008892696,0.1739130434782609,0.10810810810810811,30.0
v0_like_density_probe,4,0,20660427,0,12,14,66,0.21212121212121213,25,15,1.0,1,56,0.13298785104769217,0.14893617021276595,0.1142857142857143,57.0
v0_like_density_probe,4,0,20660427,1,12,14,66,0.21212121212121213,25,15,1.0,1,38,0.13298785104769217,0.14893617021276595,0.23076923076923078,34.0
v0_like_density_probe,4,0,20660427,2,12,14,66,0.21212121212121213,25,15,1.0,1,65,0.13298785104769217,0.14893617021276595,0.2278481012658228,56.0
v0_like_density_probe,4,0,20660427,3,12,14,66,0.21212121212121213,25,15,1.0,1,28,0.13298785104769217,0.14893617021276595,0.047619047619047616,37.0
v0_like_density_probe,4,0,20660427,4,12,14,66,0.21212121212121213,25,15,1.0,1,40,0.13298785104769217,0.14893617021276595,0.2222222222222222,39.0
v0_like_density_probe,4,1,20660428,0,12,14,66,0.21212121212121213,25,15,1.0,1,44,0.13298785104769217,0.14893617021276595,0.034482758620689655,45.0
v0_like_density_probe,4,1,20660428,1,12,14,66,0.21212121212121213,25,15,1.0,1,63,0.13298785104769217,0.14893617021276595,0.12987012987012986,59.0
v0_like_density_probe,4,1,20660428,2,12,14,66,0.21212121212121213,25,15,1.0,1,6,0.13298785104769217,0.14893617021276595,0.1,18.0
v0_like_density_probe,4,1,20660428,3,12,14,66,0.21212121212121213,25,15,1.0,1,61,0.13298785104769217,0.14893617021276595,0.16000000000000003,56.0
v0_like_density_probe,4,1,20660428,4,12,14,66,0.21212121212121213,25,15,1.0,1,1,0.13298785104769217,0.14893617021276595,0.0,15.0
