d,k,rho,dag_seed,n_obs,undirected_fraction,num_undirected_edges,min_abs_partial_correlation,cond_size_at_min,fisher_z_power
5,4,0.4,0,15,0.5,2,0.6358694049742082,1,0.7024683072333331
5,4,0.4,0,25,0.5,2,0.6358694049742082,1,0.9308971558657203
5,4,0.4,0,50,0.5,2,0.6358694049742082,1,0.9991406717734687
5,4,0.4,0,150,0.5,2,0.6358694049742082,1,0.9999999999994482
5,4,0.4,0,600,0.5,2,0.6358694049742082,1,1.0
5,4,0.4,1,15,0.5,2,0.4559668065185159,0,0.3993975045007544
5,4,0.4,1,25,0.5,2,0.4559668065185159,0,0.6363405600126436
5,4,0.4,1,50,0.5,2,0.4559668065185159,0,0.9213838004283043
5,4,0.4,1,150,0.5,2,0.4559668065185159,0,0.9999693481811199
5,4,0.4,1,600,0.5,2,0.4559668065185159,0,1.0
5,4,0.4,2,15,0.5,2,0.7300754530281475,1,0.8688160587354061
5,4,0.4,2,25,0.5,2,0.7300754530281475,1,0.9891831911067207
5,4,0.4,2,50,0.5,2,0.7300754530281475,1,0.9999928780417667
5,4,0.4,2,150,0.5,2,0.7300754530281475,1,1.0
5,4,0.4,2,600,0.5,2,0.7300754530281475,1,1.0
5,4,0.4,3,15,0.5,2,0.6559310389011929,1,0.7407642880811524
5,4,0.4,3,25,0.5,2,0.6559310389011929,1,0.949526826574846
5,4,0.4,3,50,0.5,2,0.6559310389011929,1,0.9996221000140186
5,4,0.4,3,150,0.5,2,0.6559310389011929,1,0.9999999999999752
5,4,0.4,3,600,0.5,2,0.6559310389011929,1,1.0
5,4,0.4,4,15,0.5,2,0.6898995480724228,1,0.8028239163380536
5,4,0.4,4,25,0.5,2,0.6898995480724228,1,0.972884001536841
5,4,0.4,4,50,0.5,2,0.6898995480724228,1,0.9999246313124127
5,4,0.4,4,150,0.5,2,0.6898995480724228,1,0.9999999999999999
5,4,0.4,4,600,0.5,2,0.6898995480724228,1,1.0
5,4,0.4,5,15,1.0,4,0.7341218636696218,0,0.9011286714173058
5,4,0.4,5,25,1.0,4,0.7341218636696218,0,0.9926117900803205
5,4,0.4,5,50,1.0,4,0.7341218636696218,0,0.9999960515598848
5,4,0.4,5,150,1.0,4,0.7341218636696218,0,1.0
5,4,0.4,5,600,1.0,4,0.7341218636696218,0,1.0
5,4,0.4,6,15,1.0,4,0.6648867976664279,0,0.7929185290622374
5,4,0.4,6,25,1.0,4,0.6648867976664279,0,0.9640307790855394
5,4,0.4,6,50,1.0,4,0.6648867976664279,0,0.9997961078418444
5,4,0.4,6,150,1.0,4,0.6648867976664279,0,0.9999999999999957
5,4,0.4,6,600,1.0,4,0.6648867976664279,0,1.0
5,4,0.4,7,15,1.0,4,0.5963838969296515,0,0.6633639356996766
5,4,0.4,7,25,1.0,4,0.5963838969296515,0,0.8970234877959375
5,4,0.4,7,50,1.0,4,0.5963838969296515,0,0.9970510880712058
5,4,0.4,7,150,1.0,4,0.5963838969296515,0,0.9999999999089504
5,4,0.4,7,600,1.0,4,0.5963838969296515,0,1.0
6,5,0.3333333333333333,0,15,0.6,3,0.634320295243271,1,0.6994787308556374
6,5,0.3333333333333333,0,25,0.6,3,0.634320295243271,1,0.9293014474195654
6,5,0.3333333333333333,0,50,0.6,3,0.634320295243271,1,0.9990876415458638
6,5,0.3333333333333333,0,150,0.6,3,0.634320295243271,1,0.9999999999993076
6,5,0.3333333333333333,0,600,0.6,3,0.634320295243271,1,1.0
6,5,0.3333333333333333,1,15,0.6,3,0.4559668065185159,1,0.3716463427651155
6,5,0.3333333333333333,1,25,0.6,3,0.4559668065185159,1,0.616237761077558
6,5,0.3333333333333333,1,50,0.6,3,0.4559668065185159,1,0.915952415510227
6,5,0.3333333333333333,1,150,0.6,3,0.4559668065185159,1,0.9999665997327339
6,5,0.3333333333333333,1,600,0.6,3,0.4559668065185159,1,1.0
6,5,0.3333333333333333,2,15,0.6,3,0.45586428189443584,0,0.39922436671781214
6,5,0.3333333333333333,2,25,0.6,3,0.45586428189443584,0,0.636112635725079
6,5,0.3333333333333333,2,50,0.6,3,0.45586428189443584,0,0.9212535368890551
6,5,0.3333333333333333,2,150,0.6,3,0.45586428189443584,0,0.9999691439352645
6,5,0.3333333333333333,2,600,0.6,3,0.45586428189443584,0,1.0
6,5,0.3333333333333333,3,15,0.6,3,0.6559310389011929,0,0.7768407300130586
6,5,0.3333333333333333,3,25,0.6,3,0.6559310389011929,0,0.9577368264472248
6,5,0.3333333333333333,3,50,0.6,3,0.6559310389011929,0,0.9996938434394921
6,5,0.3333333333333333,3,150,0.6,3,0.6559310389011929,0,0.9999999999999807
6,5,0.3333333333333333,3,600,0.6,3,0.6559310389011929,0,1.0
6,5,0.3333333333333333,4,15,0.6,3,0.6898995480724227,1,0.8028239163380535
6,5,0.3333333333333333,4,25,0.6,3,0.6898995480724227,1,0.9728840015368408
6,5,0.3333333333333333,4,50,0.6,3,0.6898995480724227,1,0.9999246313124127
6,5,0.3333333333333333,4,150,0.6,3,0.6898995480724227,1,0.9999999999999999
6,5,0.3333333333333333,4,600,0.6,3,0.6898995480724227,1,1.0
6,5,0.3333333333333333,5,15,0.6,3,0.4625455343928436,0,0.4105906732260743
6,5,0.3333333333333333,5,25,0.6,3,0.4625455343928436,0,0.650917756210434
6,5,0.3333333333333333,5,50,0.6,3,0.4625455343928436,0,0.9294353376743221
6,5,0.3333333333333333,5,150,0.6,3,0.4625455343928436,0,0.9999801156739809
6,5,0.3333333333333333,5,600,0.6,3,0.4625455343928436,0,1.0
6,5,0.3333333333333333,6,15,0.6,3,0.6648867976664281,1,0.7575313918085091
6,5,0.3333333333333333,6,25,0.6,3,0.6648867976664281,1,0.9566502878397491
6,5,0.3333333333333333,6,50,0.6,3,0.6648867976664281,1,0.9997457351585728
6,5,0.3333333333333333,6,150,0.6,3,0.6648867976664281,1,0.9999999999999944
6,5,0.3333333333333333,6,600,0.6,3,0.6648867976664281,1,1.0
6,5,0.3333333333333333,7,15,1.0,5,0.5004194762106011,0,0.47800005544303387
6,5,0.3333333333333333,7,25,1.0,5,0.5004194762106011,0,0.732086056515201
6,5,0.3333333333333333,7,50,1.0,5,0.5004194762106011,0,0.9648307520111562
6,5,0.3333333333333333,7,150,1.0,5,0.5004194762106011,0,0.9999987418353846
6,5,0.3333333333333333,7,600,1.0,5,0.5004194762106011,0,1.0
6,6,0.4,0,15,0.6666666666666666,4,0.6298767336833204,1,0.6908839173685213
6,6,0.4,0,25,0.6666666666666666,4,0.6298767336833204,1,0.9245976781793002
6,6,0.4,0,50,0.6666666666666666,4,0.6298767336833204,1,0.9989195526141976
6,6,0.4,0,150,0.6666666666666666,4,0.6298767336833204,1,0.9999999999986844
6,6,0.4,0,600,0.6666666666666666,4,0.6298767336833204,1,1.0
6,6,0.4,1,15,0.5,3,0.455966806518516,0,0.39939750450075473
6,6,0.4,1,25,0.5,3,0.455966806518516,0,0.6363405600126439
6,6,0.4,1,50,0.5,3,0.455966806518516,0,0.9213838004283046
6,6,0.4,1,150,0.5,3,0.455966806518516,0,0.9999693481811199
6,6,0.4,1,600,0.5,3,0.455966806518516,0,1.0
6,6,0.4,2,15,0.6666666666666666,4,0.6585141778987078,1,0.7456249753234382
6,6,0.4,2,25,0.6666666666666666,4,0.6585141778987078,1,0.9516554708063816
6,6,0.4,2,50,0.6666666666666666,4,0.6585141778987078,1,0.9996622511922735
6,6,0.4,2,150,0.6666666666666666,4,0.6585141778987078,1,0.9999999999999838
6,6,0.4,2,600,0.6666666666666666,4,0.6585141778987078,1,1.0
6,6,0.4,3,15,0.5,3,0.6954364139219916,0,0.8446245827347193
6,6,0.4,3,25,0.5,3,0.6954364139219916,0,0.9806011187150843
6,6,0.4,3,50,0.5,3,0.6954364139219916,0,0.999956632122594
6,6,0.4,3,150,0.5,3,0.6954364139219916,0,1.0
6,6,0.4,3,600,0.5,3,0.6954364139219916,0,1.0
6,6,0.4,4,15,0.3333333333333333,2,0.6187583759593116,3,0.582779014282137
6,6,0.4,4,25,0.3333333333333333,2,0.6187583759593116,3,0.8832672583803153
6,6,0.4,4,50,0.3333333333333333,2,0.6187583759593116,3,0.9977145441030983
