level,method,model,n,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
0,random_uniform,baseline,800,0.8476041666666667,0.5035000000000001,0.5517180735930736,0.4994166666666666,0.25775000000000003,0.2824641053391053,4.225,1.0
1,random_uniform,baseline,800,0.6395967261904761,0.483125,0.4700755772005772,0.3746800595238095,0.24354166666666666,0.23826106185481183,6.4425,1.0
2,random_uniform,baseline,800,0.6526349206349207,0.5072916666666667,0.4897545440670441,0.36680555555555555,0.250625,0.2406191586191586,6.4725,1.0
3,random_uniform,baseline,800,0.4419186069831871,0.4840277777777778,0.39654755650489,0.2494376161978716,0.25069444444444444,0.20515600835610553,12.64,1.0
4,random_uniform,baseline,800,0.6362098214285714,0.49875,0.4822994921744922,0.359234126984127,0.24791666666666665,0.23951933483183482,6.545,1.0
5,random_uniform,baseline,800,0.44840584625535285,0.4948611111111111,0.40585503940006,0.25179952598141453,0.2520833333333333,0.2071584640817886,12.735,1.0
overall,random_uniform,baseline,4800,0.6110616813598624,0.4952592592592593,0.4660417138233562,0.3502289251515741,0.2504351851851852,0.23552968884713413,8.176666666666666,1.0
