run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,alpha,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,pc_input_directed,pc_input_undirected,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260427T093501Z,2026-04-27T09:42:09.112214+00:00,active,llm_pc_handoff,claude-sonnet-4-6,1,1479720101,14797201010108,5,6,25,15,1.0,1,0.05,success,,11.701973,3909,675,4584,0,0,6,2,4,2,3,2,1,1,2,0,1,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,3,1.0
20260427T093501Z,2026-04-27T09:42:20.825688+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,823847298,8238472980209,5,6,15,10,1.5,1,0.05,success,,12.326103,3709,744,4453,0,0,6,0,6,2,3,0,1,1,2,0,1,1,0,0,0,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260427T093501Z,2026-04-27T09:42:33.160331+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,834246677,8342466770209,5,6,15,10,1.5,1,0.05,success,,21.496498,6293,1218,7511,0,0,6,0,6,2,3,0,2,2,3,0,2,1,0,0,0,2,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.16666666666666666,0.25,5,1.0
20260427T093501Z,2026-04-27T09:42:54.670288+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,32015887,320158870209,5,6,15,10,1.5,1,0.05,success,,12.155755,3720,694,4414,0,0,6,2,4,1,2,0,1,1,2,0,1,1,0,0,0,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857,5,1.0
20260427T093501Z,2026-04-27T09:43:06.837981+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,716908331,7169083310209,5,6,15,10,1.5,1,0.05,success,,29.160084,3697,1334,5031,0,0,6,3,3,1,2,0,2,1,2,0,1,1,0,0,0,1,1,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.16666666666666666,0.2857142857142857,5,1.0
20260427T093501Z,2026-04-27T09:43:36.006731+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,1426457537,14264575370209,5,6,15,10,1.5,1,0.05,success,,22.94762,6333,1351,7684,0,0,6,0,6,2,3,0,3,2,3,0,2,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,5,1.0
20260427T093501Z,2026-04-27T09:43:58.962301+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,684342303,6843423030209,5,6,15,10,1.5,1,0.05,success,,4.292,1618,272,1890,0,0,6,3,3,1,2,2,0,0,1,0,0,1,0,0,0,2,0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.5,0.16666666666666666,0.25,5,1.0
20260427T093501Z,2026-04-27T09:44:03.264635+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,1207468583,12074685830209,5,6,15,10,1.5,1,0.05,success,,22.393587,6312,1206,7518,0,0,6,0,6,2,3,0,2,2,3,0,2,1,0,0,0,2,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260427T093501Z,2026-04-27T09:44:25.658415+00:00,active,llm_pc_handoff,claude-sonnet-4-6,2,1612783012,16127830120209,5,6,15,10,1.5,1,0.05,success,,16.042018,3724,966,4690,0,0,6,3,3,1,2,0,2,1,2,0,1,1,0,0,0,2,0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0
20260427T093501Z,2026-04-27T09:44:41.717575+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,1329552115,13295521150310,7,9,25,15,1.0,1,0.05,success,,24.440669,7795,1304,9099,0,0,9,5,4,2,3,0,3,2,3,0,2,1,0,0,0,3,0,1.0,0.3333333333333333,0.5,1.0,0.2,0.33333333333333337,0.3333333333333333,0.1111111111111111,0.16666666666666666,8,1.0
