level,method,model,n,d,k,max_edges,density,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
0,random_uniform,baseline,10,4,3,6,0.5,0.7166666666666667,0.4333333333333333,0.4276190476190476,0.425,0.16666666666666666,0.17412698412698413,3.5,1.0
1,random_uniform,baseline,10,6,6,15,0.4,0.5719047619047619,0.4666666666666667,0.3502014652014652,0.4373809523809523,0.26666666666666666,0.19743589743589743,8.7,1.0
2,random_uniform,baseline,10,8,9,28,0.32142857142857145,0.36357028935976304,0.5333333333333333,0.3604202231788439,0.13572833599149386,0.2444444444444444,0.16854790751342477,16.8,1.0
3,random_uniform,baseline,10,10,12,45,0.26666666666666666,0.28199792960662523,0.5083333333333333,0.33462568620463357,0.11833160800552105,0.21666666666666665,0.1415661336713968,24.6,1.0
4,random_uniform,baseline,10,12,14,66,0.21212121212121213,0.27605641459064795,0.5142857142857142,0.2535923762792833,0.08054783809846491,0.27142857142857146,0.12221631878557875,36.7,1.0
5,random_uniform,baseline,10,10,12,45,0.26666666666666666,0.29333200901428086,0.375,0.2391004997315993,0.19959491184243228,0.18333333333333332,0.12284957072855576,25.0,1.0
overall,random_uniform,baseline,60,,,,,0.41725467852379095,0.4718253968253968,0.32759321636914546,0.23276394105314407,0.22486772486772486,0.15445713537697295,19.216666666666665,1.0
