level,seed,panel,method,d,k,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,submit_directed,submit_undirected,interventions_used
2,1426457537,active,pc_greedy,8,9,0.75,0.6666666666666666,0.7058823529411765,0.5,0.4444444444444444,0.47058823529411764,7,1.0,8,0,2
2,684342303,observational,pc,8,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.0,0.0,9,1.0,0,5,0
2,684342303,active,pc_greedy,8,9,1.0,0.5555555555555556,0.7142857142857143,0.8,0.4444444444444444,0.5714285714285714,5,0.6666666666666666,5,0,3
2,1207468583,observational,pc,8,9,1.0,0.6666666666666666,0.8,1.0,0.4444444444444444,0.6153846153846153,5,1.0,4,2,0
2,1207468583,active,pc_greedy,8,9,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,3,1.0,6,0,2
2,1612783012,observational,pc,8,9,0.8333333333333334,0.5555555555555556,0.6666666666666667,1.0,0.0,0.0,10,1.0,0,6,0
2,1612783012,active,pc_greedy,8,9,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.8,0.4444444444444444,0.5714285714285714,6,0.5,5,1,2
3,1329552115,observational,pc,10,12,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,12,1.0,0,6,0
3,1329552115,active,pc_greedy,10,12,1.0,0.5,0.6666666666666666,1.0,0.4166666666666667,0.5882352941176471,7,0.6666666666666666,5,1,3
3,160719912,observational,pc,10,12,1.0,0.8333333333333334,0.9090909090909091,0.5714285714285714,0.3333333333333333,0.4210526315789474,8,1.0,7,3,0
3,160719912,active,pc_greedy,10,12,1.0,0.8333333333333334,0.9090909090909091,0.7,0.5833333333333334,0.6363636363636365,5,1.0,10,0,2
3,362855691,observational,pc,10,12,0.9,0.75,0.8181818181818182,0.4444444444444444,0.3333333333333333,0.380952380952381,9,1.0,9,1,0
3,362855691,active,pc_greedy,10,12,0.9,0.75,0.8181818181818182,0.5,0.4166666666666667,0.45454545454545453,8,1.0,10,0,1
3,589330817,observational,pc,10,12,1.0,0.75,0.8571428571428571,1.0,0.5,0.6666666666666666,6,1.0,6,3,0
3,589330817,active,pc_greedy,10,12,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571,3,0.5,9,0,2
3,1877150515,observational,pc,10,12,0.8888888888888888,0.6666666666666666,0.761904761904762,1.0,0.0,0.0,13,1.0,0,9,0
3,1877150515,active,pc_greedy,10,12,0.8888888888888888,0.6666666666666666,0.761904761904762,1.0,0.4166666666666667,0.5882352941176471,8,0.5,5,4,2
3,370845052,observational,pc,10,12,0.9,0.75,0.8181818181818182,1.0,0.5833333333333334,0.7368421052631579,6,1.0,7,3,0
3,370845052,active,pc_greedy,10,12,0.9,0.75,0.8181818181818182,0.9,0.75,0.8181818181818182,4,0.6666666666666666,10,0,3
3,976218778,observational,pc,10,12,1.0,0.5833333333333334,0.7368421052631579,1.0,0.16666666666666666,0.2857142857142857,10,1.0,2,5,0
3,976218778,active,pc_greedy,10,12,1.0,0.5833333333333334,0.7368421052631579,1.0,0.5833333333333334,0.7368421052631579,5,0.75,7,0,4
3,1286035187,observational,pc,10,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.26666666666666666,12,1.0,3,6,0
3,1286035187,active,pc_greedy,10,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.4166666666666667,0.5263157894736842,9,0.5,7,2,2
4,518645330,observational,pc,12,14,1.0,0.5714285714285714,0.7272727272727273,1.0,0.14285714285714285,0.25,12,1.0,2,6,0
4,518645330,active,pc_greedy,12,14,1.0,0.5714285714285714,0.7272727272727273,1.0,0.5714285714285714,0.7272727272727273,6,1.0,8,0,3
4,511033471,observational,pc,12,14,1.0,0.7857142857142857,0.88,0.8,0.2857142857142857,0.4210526315789473,10,1.0,5,6,0
4,511033471,active,pc_greedy,12,14,1.0,0.7857142857142857,0.88,0.9090909090909091,0.7142857142857143,0.8,4,1.0,11,0,4
4,1198956094,observational,pc,12,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.3333333333333333,0.07142857142857142,0.11764705882352941,14,1.0,3,6,0
4,1198956094,active,pc_greedy,12,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.5714285714285714,0.2857142857142857,0.38095238095238093,11,1.0,7,2,2
4,154587426,observational,pc,12,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.8,0.2857142857142857,0.4210526315789473,11,1.0,5,4,0
4,154587426,active,pc_greedy,12,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.75,0.42857142857142855,0.5454545454545454,9,1.0,8,1,2
4,1368642322,observational,pc,12,14,1.0,0.7142857142857143,0.8333333333333333,1.0,0.42857142857142855,0.6,8,1.0,6,4,0
4,1368642322,active,pc_greedy,12,14,1.0,0.7142857142857143,0.8333333333333333,1.0,0.7142857142857143,0.8333333333333333,4,1.0,10,0,3
4,1163629188,observational,pc,12,14,0.9,0.6428571428571429,0.75,0.625,0.35714285714285715,0.45454545454545453,10,1.0,8,2,0
4,1163629188,active,pc_greedy,12,14,0.9,0.6428571428571429,0.75,0.7,0.5,0.5833333333333334,8,1.0,10,0,2
4,1332933138,observational,pc,12,14,1.0,0.7142857142857143,0.8333333333333333,1.0,0.2857142857142857,0.4444444444444445,10,1.0,4,6,0
