panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.5761904761904761,0.2873873915042106,0.3770411742975385,0.7753397780834138,0.30892857142857144,0.3401198125373858,0.0732375660847103,0.5446195767724326,3.5,1.7728105208558367,2.271504985765103,4.7284950142348965,0.75,0.2672612419124244,0.5647974082254786,0.9352025917745214,2.875,0.25,1.5,2.5,0.0,1.5,1.0,0.0,0.012516125
active,0,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.6375,0.15475274698179903,0.5302618175378854,0.7447381824621145,0.44166666666666665,0.11091252094144871,0.3648082109039972,0.5185251224293361,3.125,1.3562026818605375,2.185199489253171,4.064800510746829,1.0,0.0,1.0,1.0,2.125,1.125,0.125,4.0,2.875,0.125,1.0,0.0,0.02
active,0,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.8258928571428571,0.12288665402560738,0.7407367504916016,0.9110489637941126,0.4330357142857143,0.3196877462494313,0.2115034085152015,0.6545680200562272,2.625,1.407885953173359,1.6493848094663552,3.6006151905336448,1.0,0.0,1.0,1.0,4.0,0.0,0.0,16.5,15.5,0.0,1.0,0.0,0.091572875
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.39999999999999997,0.3285369202030541,0.17233552953719125,0.6276644704628087,1.875,0.9910312089651149,1.1882504095377997,2.5617495904622003,0.9375,0.1767766952966369,0.8150000000000001,1.06,2.5,0.375,1.125,2.125,0.0,1.125,1.0,0.0,0.006827
active,0,pc_greedy,baseline,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.8083333333333333,0.3011881234615431,0.5996206121110753,1.0170460545555913,0.625,0.9161253813129043,-0.009842500152596911,1.259842500152597,0.625,0.23145502494313785,0.4646098506765456,0.7853901493234544,2.875,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,openrouter/anthropic/claude-haiku-4.5,9,7,2,0.40091337234194374,0.20570972765986906,0.248521473478589,0.5533052712052985,0.19233147804576375,0.18655961463769763,0.054126181440333654,0.33053677465119385,9.0,2.581988897471611,7.087235857020875,10.912764142979125,0.7857142857142857,0.2672612419124244,0.5877243869820524,0.983704184446519,6.714285714285714,0.2857142857142857,2.0,3.0,0.0,2.0,1.0,0.0,0.01958414285714286
active,1,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.523229895104895,0.18687516688901556,0.3937320113171562,0.6527277788926339,0.21881868131868132,0.2077188337034845,0.07487687334462456,0.3627604892927381,6.875,2.5319388392523003,5.120455899670801,8.629544100329198,1.0,0.0,1.0,1.0,4.375,0.5,0.75,16.75,15.0,0.75,1.0,0.0,0.12225100000000001
active,1,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.6792998667998668,0.17517211226616067,0.5579117861108568,0.8006879474888767,0.37537462537462535,0.1624727700963323,0.2627867398312115,0.4879625109180392,5.875,2.356601669474803,4.241958359379652,7.508041640620348,1.0,0.0,1.0,1.0,6.25,0.0,0.125,31.25,30.125,0.125,1.0,0.0,0.21327250000000003
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,1,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.8113636363636363,0.11780659715372391,0.7297278295220445,0.8929994432052281,0.5987373737373737,0.14269442100495802,0.49985518486188163,0.6976195626128657,3.25,1.0350983390135313,2.5327134463828282,3.9672865536171718,1.0,0.0,1.0,1.0,4.375,0.375,1.5,2.5,0.0,1.5,1.0,0.0,0.009524000000000001
active,1,pc_greedy,baseline,8,8,0,0.8477272727272727,0.11860563367742534,0.7655377618242424,0.929916783630303,0.8022727272727272,0.1215552502633595,0.7180392363576789,0.8865062181877756,1.875,1.1259916264596033,1.0947276116637217,2.6552723883362783,0.7708333333333333,0.26633163477615585,0.586274926438509,0.9553917402281575,4.875,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,2,llm_raw,openrouter/anthropic/claude-haiku-4.5,10,6,4,0.27255291005291005,0.1931835399627485,0.11797388417923313,0.42713193592658694,0.1597494553376906,0.1422031202129338,0.04596326111559805,0.27353564955978316,13.5,2.16794833886788,11.765280041812705,15.234719958187295,1.0,0.0,1.0,1.0,7.5,0.8333333333333334,1.8333333333333333,2.8333333333333335,0.0,1.8333333333333333,1.0,0.0,0.021776833333333332
active,2,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.29581339712918664,0.22617490164680096,0.13908218657430632,0.45254460768406696,0.1829674453513463,0.17282925088991463,0.06320288476552952,0.3027320059371631,10.625,3.814914340921881,7.981399235890564,13.268600764109436,1.0,0.0,1.0,1.0,4.125,1.25,0.625,14.0,12.375,0.625,1.0,0.0,0.11637362499999998
active,2,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,11,5,6,0.5540293040293041,0.19142017617963777,0.3862421217578629,0.7218164863007452,0.3772283272283272,0.1278646126209847,0.2651500526593451,0.48930660179730934,8.4,2.1908902300206643,6.479600041657989,10.320399958342012,1.0,0.0,1.0,1.0,6.8,0.0,0.0,33.4,32.4,0.0,1.0,0.0,0.26846760000000003
active,2,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,2,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,9,7,2,0.7172946101517531,0.14008541236950542,0.6135178843892132,0.821071335914293,0.36938775510204086,0.26761604165482833,0.17113501704239098,0.5676404931616907,6.571428571428571,2.370453040886408,4.815372384020739,8.327484758836404,1.0,0.0,1.0,1.0,5.428571428571429,0.14285714285714285,1.5714285714285714,2.5714285714285716,0.0,1.5714285714285714,1.0,0.0,0.011007142857142856
active,2,pc_greedy,baseline,8,8,0,0.7403186274509804,0.10442342029393886,0.6679568890185341,0.8126803658834267,0.6126925770308123,0.13921634926448592,0.5162205689061985,0.709164585155426,4.875,1.5526475085202969,3.799070169574242,5.950929830425758,0.7708333333333333,0.26633163477615585,0.586274926438509,0.9553917402281575,6.125,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,3,llm_raw,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.2920983665205213,0.08042305669814419,0.2363680315406135,0.34782870150042905,0.08531055900621118,0.09018817953691403,0.022813339139457878,0.14780777887296448,19.375,3.420004177106889,17.00505801758777,21.74494198241223,0.9375,0.1767766952966369,0.8150000000000001,1.06,9.875,2.0,1.75,2.75,0.0,1.75,1.0,0.0,0.024711375
active,3,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.16847406978985927,0.18697594651009344,0.03890634928772024,0.2980417902919983,0.05096153846153846,0.07226998081358733,0.000880996822219357,0.10104208010085756,16.875,11.025133624068754,9.234972185914504,24.515027814085496,1.0,0.0,1.0,1.0,1.5,6.25,0.0,7.625,6.625,0.0,1.0,0.0,0.067577125
