run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260422T105637Z,2026-04-22T10:58:41.023017+00:00,active,llm_raw,gpt-5.4,0,931551983,9315519830007,4,5,50,25,0.5,2,success,,10.699678,9433,583,10016,5,0,5,1,3,2,3,0,2,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,0.5
20260422T105637Z,2026-04-22T10:58:51.753351+00:00,active,llm_stats,gpt-5.4,0,931551983,9315519830007,4,5,50,25,0.5,2,success,,19.296205,20865,898,21763,5,0,5,1,3,1,7,5,1,1,0,1,3,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T10:59:11.075207+00:00,active,oracle,baseline,0,931551983,9315519830007,4,5,50,25,0.5,2,success,,0.000347,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T10:59:11.094047+00:00,observational,pc,baseline,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,0.007125,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T10:59:11.122472+00:00,observational,llm_raw_obs,gpt-5.4,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,4.029808,2320,236,2556,5,0,5,1,3,0,1,0,0,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260422T105637Z,2026-04-22T10:59:15.172912+00:00,observational,llm_stats_obs,gpt-5.4,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,14.013013,12924,706,13630,5,0,5,1,3,0,5,4,0,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260422T105637Z,2026-04-22T10:59:29.210192+00:00,active,pc_greedy,baseline,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,0.006404,0,0,0,5,0,5,1,3,2,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,0.888888888888889,1,0.5
20260422T105637Z,2026-04-22T10:59:29.239084+00:00,active,llm_raw,gpt-5.4,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,11.625104,9330,601,9931,5,0,5,1,3,2,3,0,2,1,0,3,1,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,0.5
20260422T105637Z,2026-04-22T10:59:40.881906+00:00,active,llm_stats,gpt-5.4,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,15.86685,17165,835,18000,5,0,5,1,3,1,6,4,1,1,0,4,1,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,0.8,0.888888888888889,2,1.0
20260422T105637Z,2026-04-22T10:59:56.761760+00:00,active,oracle,baseline,0,974369856,9743698560007,4,5,50,25,0.5,2,success,,0.0004,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T10:59:56.798043+00:00,observational,pc,baseline,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,0.007275,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T10:59:56.825818+00:00,observational,llm_raw_obs,gpt-5.4,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,3.281006,2352,179,2531,5,0,5,1,3,0,1,0,0,1,0,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.6,0.6,0.6,3,1.0
20260422T105637Z,2026-04-22T11:00:00.143458+00:00,observational,llm_stats_obs,gpt-5.4,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,11.13265,10385,513,10898,5,0,5,1,3,0,4,3,0,1,0,1,1,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
