level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,0,0,20260427,42,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.7499999999999999,2.0
v0_like_density_probe,0,0,20260427,43,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,4.0
v0_like_density_probe,0,0,20260427,44,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,45,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,0,20260427,46,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,0,20260427,47,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,0,20260427,48,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,49,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,50,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,51,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,52,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,0,20260427,53,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,54,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,55,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,56,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,57,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,58,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,0,20260427,59,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,60,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,61,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,62,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,63,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,64,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,65,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,66,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,67,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,68,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.5,3.0
v0_like_density_probe,0,0,20260427,69,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,70,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,71,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,72,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,73,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.7499999999999999,2.0
v0_like_density_probe,0,0,20260427,74,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.8,1.0
v0_like_density_probe,0,0,20260427,75,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,0,20260427,76,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,77,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,3.0
v0_like_density_probe,0,0,20260427,78,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,0,20260427,79,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,80,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.6666666666666666,3.0
v0_like_density_probe,0,0,20260427,81,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,82,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
